date;numero_commande;client_email;code_postal;ville;produit;quantite;montant_ttc;livraison
2024-07-16;CMD-2024-0001;jules.leroy86@exemple.fr;26205;Valence;Bougie cire de soja;1;26,90;Retrait boutique
2024-06-11;CMD-2024-0002;lucas.martin37@exemple.fr;54026;Nancy;Carte cadeau 50 €;1;54,90;Colissimo
2025-07-02;CMD-2024-0003;manon.martin39@exemple.fr;85774;La Roche-sur-Yon;Bougie cire de soja;1;26,90;Colissimo
2024-03-18;CMD-2024-0004;emma.durand0@exemple.fr;84578;Avignon;Coffret découverte 3 savons;1;29,80;Retrait boutique
2025-12-27;CMD-2024-0005;ines.robert67@exemple.fr;31193;Toulouse;Baume réparateur;1;17,80;Colissimo
2025-10-08;CMD-2024-0006;chloe.richard68@exemple.fr;03107;Moulins;Shampoing solide;4;44,50;Colissimo
2024-12-13;CMD-2024-0007;hugo.dubois30@exemple.fr;75581;Paris;Carte cadeau 50 €;1;54,90;Colissimo
2025-11-22;CMD-2024-0008;jules.leroy22@exemple.fr;21548;Dijon;Coffret découverte 3 savons;3;79,60;Colissimo
2024-05-06;CMD-2024-0009;manon.leroy50@exemple.fr;79175;Niort;Carte cadeau 50 €;3;154,90;Colissimo
2025-09-16;CMD-2024-0010;louis.dubois15@exemple.fr;66600;Perpignan;Carte cadeau 50 €;3;154,90;Colissimo
2025-05-18;CMD-2024-0011;zoe.bernard80@exemple.fr;17538;La Rochelle;Baume réparateur;1;17,80;Colissimo
2025-04-15;CMD-2024-0012;lucas.petit64@exemple.fr;59423;Lille;Huile sèche 100 ml;2;40,90;Colissimo
2025-02-09;CMD-2024-0013;camille.dubois76@exemple.fr;69809;Lyon;Huile sèche 100 ml;1;22,90;Colissimo
2025-08-09;CMD-2024-0014;lea.robert88@exemple.fr;84876;Avignon;Huile sèche 100 ml;1;22,90;Colissimo
2024-06-19;CMD-2024-0015;jules.richard52@exemple.fr;75598;Paris;Carte cadeau 50 €;3;154,90;Colissimo
2025-05-09;CMD-2024-0016;lucas.richard42@exemple.fr;67040;Strasbourg;Bougie cire de soja;1;26,90;Colissimo
2025-07-11;CMD-2024-0017;jules.leroy7@exemple.fr;74243;Annecy;Huile sèche 100 ml;1;22,90;Colissimo
2025-04-19;CMD-2024-0018;emma.leroy51@exemple.fr;18731;Bourges;Baume réparateur;2;30,70;Colissimo
2024-03-25;CMD-2024-0019;gabriel.laurent66@exemple.fr;72810;Le Mans;Shampoing solide;1;14,80;Colissimo
2025-10-17;CMD-2024-0020;lucas.moreau54@exemple.fr;74046;Annecy;Carte cadeau 50 €;2;104,90;Colissimo
2025-04-26;CMD-2024-0021;louis.durand5@exemple.fr;39560;Lons-le-Saunier;Carte cadeau 50 €;1;54,90;Colissimo
2025-06-16;CMD-2024-0022;nathan.garcia30@exemple.fr;75174;Paris;Savon lait d’ânesse;1;11,40;Colissimo
2025-01-09;CMD-2024-0023;jules.moreau0@exemple.fr;43255;Le Puy-en-Velay;Shampoing solide;1;14,80;Colissimo
2025-05-26;CMD-2024-0024;lucas.petit54@exemple.fr;49399;Angers;Baume réparateur;2;30,70;Colissimo
2024-06-23;CMD-2024-0025;emma.petit54@exemple.fr;85366;La Roche-sur-Yon;Huile sèche 100 ml;1;22,90;Colissimo
2025-06-07;CMD-2024-0026;emma.richard36@exemple.fr;86045;Poitiers;Huile sèche 100 ml;4;76,90;Colissimo
2024-10-14;CMD-2024-0027;manon.moreau13@exemple.fr;60776;Beauvais;Bougie cire de soja;1;26,90;Retrait boutique
2024-05-18;CMD-2024-0028;ines.robert40@exemple.fr;51421;Châlons-en-Champagne;Carte cadeau 50 €;2;104,90;Colissimo
2024-03-05;CMD-2024-0029;arthur.garcia63@exemple.fr;18854;Bourges;Carte cadeau 50 €;2;104,90;Colissimo
2025-11-15;CMD-2024-0030;nathan.garcia58@exemple.fr;46299;Cahors;Savon lait d’ânesse;1;11,40;Colissimo
2024-02-04;CMD-2024-0031;manon.durand17@exemple.fr;69396;Lyon;Bougie cire de soja;2;48,90;Retrait boutique
2024-06-27;CMD-2024-0032;chloe.moreau19@exemple.fr;24115;Périgueux;Shampoing solide;1;14,80;Colissimo
2024-08-15;CMD-2024-0033;camille.thomas1@exemple.fr;46072;Cahors;Shampoing solide;1;14,80;Colissimo
2024-07-21;CMD-2024-0034;ines.petit42@exemple.fr;39658;Lons-le-Saunier;Savon lait d’ânesse;1;11,40;Colissimo
2024-01-17;CMD-2024-0035;hugo.bernard15@exemple.fr;63543;Clermont-Ferrand;Coffret découverte 3 savons;1;29,80;Colissimo
2025-04-19;CMD-2024-0036;lucas.thomas73@exemple.fr;75116;Paris;Huile sèche 100 ml;1;22,90;Colissimo
2025-12-18;CMD-2024-0037;louis.robert6@exemple.fr;35119;Rennes;Carte cadeau 50 €;4;204,90;Colissimo
2025-03-19;CMD-2024-0038;hugo.durand2@exemple.fr;94749;Créteil;Savon lait d’ânesse;3;24,40;Colissimo
2025-10-10;CMD-2024-0039;camille.durand76@exemple.fr;58033;Nevers;Coffret découverte 3 savons;3;79,60;Colissimo
2025-03-23;CMD-2024-0040;louis.laurent70@exemple.fr;21352;Dijon;Carte cadeau 50 €;3;154,90;Retrait boutique
2024-08-04;CMD-2024-0041;louis.bernard2@exemple.fr;91650;Évry-Courcouronnes;Baume réparateur;1;17,80;Colissimo
2025-02-19;CMD-2024-0042;hugo.dubois88@exemple.fr;11280;Carcassonne;Trousse toilette lin;1;33,90;Colissimo
2024-02-21;CMD-2024-0043;gabriel.robert84@exemple.fr;36021;Châteauroux;Coffret découverte 3 savons;1;29,80;Colissimo
2025-06-15;CMD-2024-0044;emma.leroy67@exemple.fr;83822;Toulon;Huile sèche 100 ml;1;22,90;Colissimo
2024-02-16;CMD-2024-0045;lucas.dubois25@exemple.fr;67398;Strasbourg;Huile sèche 100 ml;3;58,90;Colissimo
2024-12-24;CMD-2024-0046;emma.moreau3@exemple.fr;15282;Aurillac;Shampoing solide;1;14,80;Colissimo
2025-10-02;CMD-2024-0047;camille.durand64@exemple.fr;43056;Le Puy-en-Velay;Savon lait d’ânesse;1;11,40;Colissimo
2024-10-09;CMD-2024-0048;ines.thomas68@exemple.fr;77806;Melun;Coffret découverte 3 savons;4;104,50;Colissimo
2024-04-02;CMD-2024-0049;hugo.bernard19@exemple.fr;85057;La Roche-sur-Yon;Huile sèche 100 ml;4;76,90;Colissimo
2025-06-26;CMD-2024-0050;arthur.martin54@exemple.fr;26182;Valence;Coffret découverte 3 savons;2;54,70;Colissimo
2025-07-19;CMD-2024-0051;louis.laurent25@exemple.fr;41633;Blois;Trousse toilette lin;1;33,90;Colissimo
2024-12-18;CMD-2024-0052;lea.thomas13@exemple.fr;75165;Paris;Shampoing solide;1;14,80;Colissimo
2024-04-04;CMD-2024-0053;jules.bernard10@exemple.fr;77641;Melun;Coffret découverte 3 savons;1;29,80;Retrait boutique
2024-08-04;CMD-2024-0054;nathan.thomas28@exemple.fr;91037;Évry-Courcouronnes;Coffret découverte 3 savons;4;104,50;Colissimo
