Date;Client;CP;Article;Total
07/11/2024;Hugo Bernard;26 327;Baume réparateur;17,80 €
18/04/2025;Léa Dubois;33241;Bougie cire de soja;26.90
14/12/2025;Jules Lefebvre;97400;Baume réparateur;17.80
09/05/2025;Arthur Leroy;29 102;Carte cadeau 50 €;54.90
07/06/2025;Emma Laurent;89608;Coffret découverte 3 savons;29.80
17/11/2024;Manon Robert;13505;Baume réparateur;17.80
13/01/2025;Inès Moreau;56375;Trousse toilette lin;33.90
19/03/2025;Gabriel Thomas;94453;Coffret découverte 3 savons;29,80 €
22/11/2024;Emma Richard;;Huile sèche 100 ml;22,90 €
06/12/2024;Emma Leroy;77304;Shampoing solide;
21/08/2025;Chloé Moreau;78 454;Huile sèche 100 ml;22,90 €
25/12/2025;Manon Bernard;49629;Baume réparateur;17,80 €
06/09/2025;Louis Moreau;32374;Bougie cire de soja;26.90
25/01/2025;Manon Bernard;;Bougie cire de soja;26.90
26/11/2024;Léa Moreau;69320;Carte cadeau 50 €;54,90 €
28/12/2024;Inès Martin;67872;Carte cadeau 50 €;
19/11/2025;Zoé Leroy;59204;Shampoing solide;14,80 €
28/12/2025;Louis Robert;82153;Savon lait d’ânesse;11.40
13/02/2025;Camille Laurent;47294;Bougie cire de soja;26.90
24/11/2024;Jules Dubois;24 405;Bougie cire de soja;26.90
24/03/2025;Hugo Garcia;73859;Trousse toilette lin;33.90
12/04/2025;Léa Simon;53498;Bougie cire de soja;26,90 €
20/11/2024;Gabriel Thomas;11 169;Huile sèche 100 ml;22.90
06/10/2025;Inès Bernard;56041;Savon lait d’ânesse;11.40
19/09/2025;Inès Petit;92 636;Bougie cire de soja;26,90 €
14/07/2025;Lucas Moreau;97400;Shampoing solide;14,80 €
04/12/2025;Lucas Moreau;70 009;Savon lait d’ânesse;11.40
24/09/2025;Manon Bernard;37606;Coffret découverte 3 savons;
15/11/2024;Manon Petit;88503;Carte cadeau 50 €;54,90 €
21/07/2025;Camille Petit;79240;Bougie cire de soja;26.90
06/10/2025;Jules Thomas;97400;Trousse toilette lin;33.90
14/11/2025;Léa Leroy;39 677;Shampoing solide;14,80 €
24/12/2025;Emma Leroy;44892;Coffret découverte 3 savons;29.80
09/01/2025;Jules Robert;71555;Savon lait d’ânesse;11.40
16/11/2025;Chloé Lefebvre;22 675;Huile sèche 100 ml;22.90
24/02/2025;Inès Lefebvre;29891;Carte cadeau 50 €;
16/12/2025;Emma Bernard;;Savon lait d’ânesse;11.40
09/01/2025;Inès Martin;50804;Trousse toilette lin;33,90 €
15/12/2025;Zoé Leroy;76783;Coffret découverte 3 savons;29,80 €
18/11/2024;Emma Richard;78142;Bougie cire de soja;26.90
17/10/2025;Nathan Martin;08720;Coffret découverte 3 savons;29,80 €
17/06/2025;Zoé Bernard;75733;Savon lait d’ânesse;11.40
26/12/2025;Inès Laurent;81 027;Baume réparateur;17.80
20/11/2025;Jules Garcia;33218;Trousse toilette lin;
08/12/2025;Lucas Richard;42809;Bougie cire de soja;26,90 €
07/07/2025;Chloé Martin;69781;Shampoing solide;14.80
